timestamp,close,high,low,open,volume
2025-12-22 09:15:00,89478.9,89478.9,89478.9,89478.9,1
2025-12-22 09:30:00,89478.9,89478.9,89478.9,89478.9,0
2025-12-22 09:45:00,89478.9,89478.9,89478.9,89478.9,0
2025-12-22 10:00:00,89478.9,89478.9,89478.9,89478.9,0
2025-12-22 10:15:00,89478.9,89478.9,89478.9,89478.9,0
2025-12-22 10:30:00,89478.9,89478.9,89478.9,89478.9,0
2025-12-22 10:45:00,89478.9,89478.9,89478.9,89478.9,0
2025-12-22 11:00:00,89478.9,89478.9,89478.9,89478.9,0
2025-12-22 11:15:00,89478.9,89478.9,89478.9,89478.9,0
2025-12-22 11:30:00,89478.9,89478.9,89478.9,89478.9,0
2025-12-22 11:45:00,89900.1,89900.1,89900.1,89900.1,1
2025-12-22 12:00:00,89900.1,89900.1,89900.1,89900.1,0
2025-12-22 12:15:00,90260.0,90260.0,89161.3,89161.3,51
2025-12-22 12:30:00,90260.0,90260.0,90260.0,90260.0,0
2025-12-22 12:45:00,90244.8,90244.8,90208.6,90208.6,2
2025-12-22 13:00:00,90244.8,90244.8,90244.8,90244.8,0
2025-12-22 13:15:00,90244.8,90244.8,90244.8,90244.8,0
2025-12-22 13:30:00,90244.8,90244.8,90244.8,90244.8,0
2025-12-22 13:45:00,90244.8,90244.8,90244.8,90244.8,0
2025-12-22 14:00:00,90244.8,90244.8,90244.8,90244.8,0
2025-12-22 14:15:00,90244.8,90244.8,90244.8,90244.8,0
2025-12-22 14:30:00,90244.8,90244.8,90244.8,90244.8,0
2025-12-22 14:45:00,90244.8,90244.8,90244.8,90244.8,0
2025-12-22 15:00:00,89570.9,89570.9,89570.9,89570.9,8
2025-12-22 15:15:00,89570.9,89570.9,89570.9,89570.9,0
2025-12-22 15:30:00,89570.9,89570.9,89570.9,89570.9,0
2025-12-22 15:45:00,89570.9,89570.9,89570.9,89570.9,0
2025-12-22 16:00:00,89570.9,89570.9,89570.9,89570.9,0
2025-12-22 16:15:00,89570.9,89570.9,89570.9,89570.9,0
2025-12-22 16:30:00,89570.9,89570.9,89570.9,89570.9,0
2025-12-22 16:45:00,89570.9,89570.9,89570.9,89570.9,0
2025-12-22 17:00:00,89570.9,89570.9,89570.9,89570.9,0
2025-12-22 17:15:00,89570.9,89570.9,89570.9,89570.9,0
2025-12-22 17:30:00,89570.9,89570.9,89570.9,89570.9,0
2025-12-22 17:45:00,89570.9,89570.9,89570.9,89570.9,0
2025-12-22 18:00:00,89570.9,89570.9,89570.9,89570.9,0
2025-12-22 18:15:00,89570.9,89570.9,89570.9,89570.9,0
